Model,FREQ,Model name,Abundance,Fish_over_30cm,Fishing_Pressure,Algal_Control,Diversity
AEI,LOW,model_fish_AEI_HIGH,0.4,0.11,0.07,0.22,0.241133286
ACI,HIGH,model_fish_AC_LOW,0.38,0.18,0,0.14,0.103928118
RMS,RATIO,model_fish_RMS_Ratio,0.34,0.13,0,0.2,0.139990213
ACI,LOW,model_fish_AC_HIGH,0.33,0.25,0.11,0.08,0.113125185
ACI,RATIO,model_fish_AC_Ratio,0.32,0.09,0,0.15,0.065992076
ADI,LOW,model_fish_AD_HIGH,0.31,0.07,0,0.17,0.193975188
BI,LOW,model_fish_BI_HIGH,0.24,0.14,0,0.08,0.063240002
AEI,RATIO,model_fish_AEI_Ratio,0.23,0.18,0.07,0.23,0.19178739
ADI,RATIO,model_fish_AD_Ratio,0.23,0.04,0,0.13,0.152502317
RMS,HIGH,model_fish_HIGH_RMS,0.21,0.02,0,0.04,0.049945301
BI,RATIO,model_fish_BI_Ratio,0.19,0.16,0,0.17,0.044139069
RMS,LOW,model_fish_LOW_RMS,0.18,0.18,0.12,0.22,0.068733887
BI,HIGH,model_fish_BI_LOW,0.09,0.11,0,0.15,0.026872907
ROUGHNESS,LOW,model_fish_HIGH_ROUGHNESS,0.07,0,0,0.1,0.0796219
ROUGHNESS,RATIO,model_fish_ROUGHNESS_Ratio,0.02,0,0,0.08,0.024606829
ADI,HIGH,model_fish_AD_LOW,0.02,0.08,0,0.04,0.020662607
ROUGHNESS,HIGH,model_fish_LOW_ROUGHNESS,0.01,0.03,0,0.06,0.004022966
AEI,HIGH,model_fish_AEI_LOW,0,0.05,0,0.04,0.008217997
